respid,Weight,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22
1,1,d46-55,amale,e12000000more,ckanto,adaily,clatte,drarely,eother,froutineritual,esocialatmosphere,aatcafe,bathome,fnoresponse,fnoresponse,bseveraltimesaweek,atorelax,aqualityofdrinks,awestern,cjapanese,bmid,atop,atop
2,1,b26-35,amale,b30000005999999,ckanto,adaily,apourover,drarely,didontdrinkcoffee,atasteflavor,knoresponse,bathome,fnoresponse,fnoresponse,fnoresponse,adaily,atorelax,aqualityofdrinks,bglobal,awestern,bmid,cbot,bmid
3,1,c36-45,amale,b30000005999999,ckanto,adaily,clatte,conceaweek,cmatchalatte,atasteflavor,knoresponse,aatcafe,fnoresponse,fnoresponse,fnoresponse,conceaweek,atorelax,aqualityofdrinks,bglobal,awestern,atop,atop,atop
4,1,d46-55,bfemale,e12000000more,ckanto,adaily,apourover,drarely,cmatchalatte,atasteflavor,knoresponse,bathome,fnoresponse,fnoresponse,fnoresponse,drarely,btomeetfriends,batmosphere,bglobal,cjapanese,atop,atop,atop
5,1,e56-65,amale,fprefernottosay,ckanto,adaily,bdrip,drarely,fnoresponse,llongresponse,knoresponse,bathome,fnoresponse,fnoresponse,fnoresponse,drarely,fother,batmosphere,dno,cjapanese,bmid,atop,bmid
6,1,c36-45,bfemale,e12000000more,ckanto,drarely,ecappuccino,drarely,ausucha,hsocialnormas,froutineritual,aatcafe,fnoresponse,fnoresponse,fnoresponse,drarely,btomeetfriends,batmosphere,bglobal,cjapanese,bmid,atop,bmid
7,1,b26-35,bfemale,b30000005999999,ckanto,adaily,bdrip,drarely,eother,froutineritual,knoresponse,bathome,aatcafe,cconveniencestore,dvendingmachines,bseveraltimesaweek,atorelax,batmosphere,bglobal,awestern,atop,bmid,atop
8,1,c36-45,bfemale,c60000008999999,ckanto,bseveraltimesaweek,ecappuccino,drarely,didontdrinkcoffee,itotrynewthings,knoresponse,aatcafe,fnoresponse,fnoresponse,fnoresponse,conceaweek,ctostudywork,aqualityofdrinks,dno,cjapanese,bmid,cbot,bmid
9,1,d46-55,bfemale,e12000000more,ckanto,conceaweek,clatte,drarely,bkoicha,atasteflavor,dhealthbenefits,aatcafe,bathome,fnoresponse,fnoresponse,conceaweek,dtotryanewdrink,aqualityofdrinks,bglobal,cjapanese,cbot,atop,bmid
10,1,b26-35,bfemale,b30000005999999,ckanto,drarely,clatte,conceaweek,cmatchalatte,cenergyboost,froutineritual,aatcafe,fnoresponse,fnoresponse,fnoresponse,conceaweek,ctostudywork,batmosphere,bglobal,cjapanese,cbot,bmid,bmid
11,1,d46-55,amale,e12000000more,ckanto,adaily,iother,enever,fnoresponse,atasteflavor,knoresponse,bathome,aatcafe,fnoresponse,fnoresponse,bseveraltimesaweek,btomeetfriends,batmosphere,dno,dno,atop,cbot,atop
12,1,d46-55,bfemale,e12000000more,ckanto,adaily,bdrip,drarely,cmatchalatte,froutineritual,atasteflavor,bathome,aatcafe,fnoresponse,fnoresponse,drarely,atorelax,batmosphere,awestern,cjapanese,atop,atop,atop
13,1,d46-55,amale,e12000000more,ckanto,adaily,apourover,drarely,cmatchalatte,cenergyboost,knoresponse,bathome,eother,fnoresponse,fnoresponse,drarely,atorelax,cservice,awestern,cjapanese,bmid,atop,bmid
14,1,b26-35,amale,b30000005999999,ckanto,bseveraltimesaweek,damericano,drarely,didontdrinkcoffee,atasteflavor,knoresponse,aatcafe,bathome,cconveniencestore,fnoresponse,bseveraltimesaweek,fother,batmosphere,eunsure,eunsure,atop,cbot,atop
15,1,d46-55,amale,e12000000more,ckanto,bseveraltimesaweek,apourover,drarely,cmatchalatte,atasteflavor,cenergyboost,bathome,aatcafe,cconveniencestore,fnoresponse,bseveraltimesaweek,ctostudywork,aqualityofdrinks,awestern,cjapanese,atop,atop,atop
16,1,b26-35,bfemale,e12000000more,ckanto,bseveraltimesaweek,damericano,drarely,ausucha,froutineritual,llongresponse,aatcafe,bathome,fnoresponse,fnoresponse,bseveraltimesaweek,btomeetfriends,batmosphere,cjapanese,cjapanese,atop,atop,atop
17,1,c36-45,amale,e12000000more,ckanto,adaily,bdrip,conceaweek,bkoicha,atasteflavor,cenergyboost,aatcafe,bathome,fnoresponse,fnoresponse,bseveraltimesaweek,atorelax,batmosphere,awestern,cjapanese,bmid,atop,bmid
18,1,c36-45,amale,c60000008999999,ckanto,conceaweek,clatte,drarely,bkoicha,hsocialnormas,cenergyboost,bathome,fnoresponse,fnoresponse,fnoresponse,enever,ctostudywork,batmosphere,awestern,cjapanese,bmid,atop,bmid
19,1,b26-35,amale,e12000000more,ckanto,adaily,bdrip,enever,fnoresponse,atasteflavor,llongresponse,bathome,aatcafe,fnoresponse,fnoresponse,bseveraltimesaweek,atorelax,aqualityofdrinks,awestern,cjapanese,bmid,atop,bmid
20,1,c36-45,amale,e12000000more,iokinawa,adaily,apourover,drarely,fnoresponse,atasteflavor,froutineritual,fnoresponse,fnoresponse,fnoresponse,fnoresponse,drarely,fother,aqualityofdrinks,bglobal,cjapanese,bmid,bmid,bmid
21,1,e56-65,bfemale,e12000000more,ckanto,conceaweek,ecappuccino,drarely,fnoresponse,llongresponse,knoresponse,aatcafe,fnoresponse,fnoresponse,fnoresponse,drarely,atorelax,batmosphere,dno,dno,atop,atop,atop
